Date,Close,Open,High,Low,Vol.,Change %
"Jun 10, 1999",510.59,510.59,510.59,510.59,0,-1.61%
"Jun 11, 1999",503.47,503.47,503.47,503.47,0,-1.39%
"Jun 14, 1999",497.71,497.71,497.71,497.71,0,-1.14%
"Jun 15, 1999",502.82,502.82,502.82,502.82,0,1.03%
"Jun 16, 1999",529.84,529.84,529.84,529.84,0,5.37%
"Jun 17, 1999",534.19,534.19,534.19,534.19,0,0.82%
"Jun 18, 1999",539.61,539.61,539.61,539.61,0,1.01%
"Jun 21, 1999",556.42,556.42,556.42,556.42,0,3.12%
"Jun 22, 1999",542.2,542.2,542.2,542.2,0,-2.56%
"Jun 23, 1999",547.74,547.74,547.74,547.74,0,1.02%
"Jun 24, 1999",536.17,536.17,536.17,536.17,0,-2.11%
"Jun 25, 1999",536.78,536.78,536.78,536.78,0,0.11%
"Jun 28, 1999",545.84,545.84,545.84,545.84,0,1.69%
"Jun 29, 1999",555.58,555.58,555.58,555.58,0,1.78%
"Jun 30, 1999",566.61,566.61,566.61,566.61,0,1.99%
"Jul 01, 1999",574.51,574.51,574.51,574.51,0,1.39%
"Jul 02, 1999",582.96,582.96,582.96,582.96,0,1.47%
"Jul 06, 1999",580.34,580.34,580.34,580.34,0,-0.45%
"Jul 07, 1999",587.57,587.57,587.57,587.57,0,1.25%
"Jul 08, 1999",595.66,595.66,595.66,595.66,0,1.38%
"Jul 09, 1999",603.92,603.92,603.92,603.92,0,1.39%
"Jul 12, 1999",603.49,603.49,603.49,603.49,0,-0.07%
"Jul 13, 1999",600.69,600.69,600.69,600.69,0,-0.46%
"Jul 14, 1999",611.01,611.01,611.01,611.01,0,1.72%
"Jul 15, 1999",615.43,615.43,615.43,615.43,0,0.72%
"Jul 16, 1999",621.75,621.75,621.75,621.75,0,1.03%
"Jul 19, 1999",613.48,613.48,613.48,613.48,0,-1.33%
"Jul 20, 1999",583.4,583.4,583.4,583.4,0,-4.90%
"Jul 21, 1999",589.49,589.49,589.49,589.49,0,1.04%
"Jul 22, 1999",566.42,566.42,566.42,566.42,0,-3.91%
"Jul 23, 1999",569.45,569.45,569.45,569.45,0,0.53%
"Jul 26, 1999",554.57,554.57,554.57,554.57,0,-2.61%
"Jul 27, 1999",571.5,571.5,571.5,571.5,0,3.05%
"Jul 28, 1999",580.92,580.92,580.92,580.92,0,1.65%
